"Angle (rad)";"Magnetic Field Strength (1X) (T)"
"a = 0.14";"R = 0.07"
"";"vindinger 330"
"std 4.65";"std 0.000999"
1.01E+1;1.161377E-5
1.01E+1;9.982910E-6
1.01E+1;1.344849E-5
1.01E+1;1.272095E-5
1.01E+1;2.293945E-5
1.02E+1;3.597534E-5
1.02E+1;5.403320E-5
1.03E+1;7.290527E-5
1.04E+1;9.466187E-5
1.05E+1;1.073547E-4
1.05E+1;1.257520E-4
1.06E+1;1.487085E-4
1.07E+1;1.801904E-4
1.08E+1;2.159839E-4
1.09E+1;2.528772E-4
1.10E+1;2.936536E-4
1.11E+1;3.376904E-4
1.12E+1;3.796118E-4
1.13E+1;4.255298E-4
1.14E+1;4.638867E-4
1.15E+1;4.961633E-4
1.16E+1;5.313879E-4
1.16E+1;5.717139E-4
1.17E+1;6.144128E-4
1.18E+1;6.674707E-4
1.19E+1;7.205371E-4
1.20E+1;7.708911E-4
1.20E+1;8.250879E-4
1.21E+1;8.850452E-4
1.22E+1;9.463037E-4
1.23E+1;1.005565E-3
1.24E+1;1.065570E-3
1.24E+1;1.128475E-3
1.25E+1;1.189492E-3
1.26E+1;1.256852E-3
1.27E+1;1.320809E-3
1.27E+1;1.380787E-3
1.28E+1;1.441671E-3
1.29E+1;1.503341E-3
1.29E+1;1.570835E-3
1.30E+1;1.646211E-3
1.31E+1;1.734132E-3
1.32E+1;1.818708E-3
1.32E+1;1.899857E-3
1.33E+1;1.972277E-3
1.34E+1;2.047501E-3
1.35E+1;2.122997E-3
1.35E+1;2.193357E-3
1.36E+1;2.258666E-3
1.37E+1;2.324596E-3
1.38E+1;2.387357E-3
1.38E+1;2.437552E-3
1.39E+1;2.481316E-3
1.39E+1;2.520875E-3
1.40E+1;2.558730E-3
1.41E+1;2.590847E-3
1.41E+1;2.623246E-3
1.42E+1;2.651676E-3
1.42E+1;2.678420E-3
1.43E+1;2.699159E-3
1.44E+1;2.719866E-3
1.44E+1;2.733007E-3
1.45E+1;2.737379E-3
1.46E+1;2.738730E-3
1.46E+1;2.734272E-3
1.47E+1;2.725773E-3
1.48E+1;2.712484E-3
1.48E+1;2.694294E-3
1.49E+1;2.672075E-3
1.49E+1;2.645701E-3
1.50E+1;2.616840E-3
1.51E+1;2.581913E-3
1.52E+1;2.536332E-3
1.52E+1;2.490730E-3
1.53E+1;2.446040E-3
1.54E+1;2.405865E-3
1.54E+1;2.365861E-3
1.55E+1;2.324650E-3
1.55E+1;2.280317E-3
1.56E+1;2.234194E-3
1.57E+1;2.181664E-3
1.57E+1;2.129696E-3
1.58E+1;2.075532E-3
1.59E+1;2.018137E-3
1.60E+1;1.960924E-3
1.61E+1;1.905294E-3
1.61E+1;1.851630E-3
1.62E+1;1.805680E-3
1.63E+1;1.761896E-3
1.64E+1;1.726443E-3
1.64E+1;1.700496E-3
1.65E+1;1.676357E-3
1.66E+1;1.654634E-3
1.66E+1;1.635537E-3
1.67E+1;1.616461E-3
1.68E+1;1.600123E-3
1.69E+1;1.586628E-3
1.70E+1;1.574777E-3
1.70E+1;1.573193E-3
1.71E+1;1.572573E-3
1.72E+1;1.575551E-3
1.72E+1;1.579565E-3
1.73E+1;1.590574E-3
1.74E+1;1.604379E-3
1.74E+1;1.621676E-3
1.75E+1;1.640936E-3
1.76E+1;1.664390E-3
1.77E+1;1.689084E-3
1.77E+1;1.713232E-3
1.78E+1;1.744202E-3
1.78E+1;1.777065E-3
1.79E+1;1.811667E-3
1.80E+1;1.853383E-3
1.81E+1;1.899176E-3
1.81E+1;1.957415E-3
1.82E+1;2.023456E-3
1.83E+1;2.093020E-3
1.84E+1;2.160919E-3
1.85E+1;2.225840E-3
1.86E+1;2.292825E-3
1.87E+1;2.356868E-3
1.88E+1;2.416305E-3
1.89E+1;2.472949E-3
1.90E+1;2.520968E-3
1.90E+1;2.569672E-3
1.91E+1;2.613115E-3
1.92E+1;2.650691E-3
