"Angle (rad)";"Magnetic Field Strength (1X) (T)"
"a = 0.07";"R = 0.07"
"";"vindinger 330"
"std 3.11";"std 0.001423"
2.07E+1;8.380603E-4
2.06E+1;8.478516E-4
2.06E+1;8.627490E-4
2.05E+1;8.818225E-4
2.05E+1;8.988916E-4
2.04E+1;9.176013E-4
2.03E+1;9.358130E-4
2.03E+1;9.555652E-4
2.02E+1;9.719531E-4
2.02E+1;9.864551E-4
2.01E+1;1.009288E-3
2.01E+1;1.030559E-3
2.00E+1;1.052654E-3
2.00E+1;1.069945E-3
1.99E+1;1.090162E-3
1.98E+1;1.115542E-3
1.98E+1;1.143677E-3
1.97E+1;1.179957E-3
1.96E+1;1.215726E-3
1.96E+1;1.253107E-3
1.95E+1;1.294176E-3
1.94E+1;1.333741E-3
1.93E+1;1.371666E-3
1.93E+1;1.417482E-3
1.92E+1;1.464219E-3
1.91E+1;1.514556E-3
1.90E+1;1.557552E-3
1.90E+1;1.606656E-3
1.89E+1;1.659441E-3
1.88E+1;1.702180E-3
1.88E+1;1.741575E-3
1.87E+1;1.780529E-3
1.86E+1;1.821064E-3
1.86E+1;1.863794E-3
1.85E+1;1.915947E-3
1.84E+1;1.965886E-3
1.84E+1;2.009412E-3
1.83E+1;2.051030E-3
1.83E+1;2.092491E-3
1.82E+1;2.132972E-3
1.81E+1;2.175220E-3
1.81E+1;2.219020E-3
1.80E+1;2.260535E-3
1.79E+1;2.298518E-3
1.79E+1;2.331410E-3
1.78E+1;2.357715E-3
1.77E+1;2.381940E-3
1.77E+1;2.402365E-3
1.76E+1;2.419384E-3
1.76E+1;2.432194E-3
1.75E+1;2.439756E-3
1.75E+1;2.441709E-3
1.74E+1;2.443561E-3
1.74E+1;2.440138E-3
1.73E+1;2.434132E-3
1.73E+1;2.427504E-3
1.72E+1;2.417472E-3
1.72E+1;2.404741E-3
1.72E+1;2.392065E-3
1.71E+1;2.376520E-3
1.71E+1;2.363009E-3
1.71E+1;2.346665E-3
1.70E+1;2.327938E-3
1.70E+1;2.299891E-3
1.70E+1;2.276024E-3
1.69E+1;2.249639E-3
1.69E+1;2.218525E-3
1.69E+1;2.189586E-3
1.68E+1;2.159048E-3
1.68E+1;2.131405E-3
1.68E+1;2.093871E-3
1.67E+1;2.056804E-3
1.67E+1;2.018934E-3
1.67E+1;1.975726E-3
1.66E+1;1.938478E-3
1.66E+1;1.891283E-3
1.65E+1;1.830797E-3
1.65E+1;1.767765E-3
1.65E+1;1.705778E-3
1.64E+1;1.641353E-3
1.64E+1;1.570115E-3
1.63E+1;1.499507E-3
1.63E+1;1.435570E-3
1.63E+1;1.380801E-3
1.62E+1;1.331643E-3
1.62E+1;1.286716E-3
1.62E+1;1.233381E-3
1.61E+1;1.174087E-3
1.61E+1;1.108533E-3
1.61E+1;1.048632E-3
1.60E+1;9.976465E-4
1.60E+1;9.531372E-4
1.60E+1;9.003540E-4
1.60E+1;8.494556E-4
1.59E+1;8.012671E-4
1.59E+1;7.492627E-4
1.59E+1;7.009485E-4
1.59E+1;6.539819E-4
1.58E+1;6.029041E-4
1.58E+1;5.587585E-4
1.58E+1;5.107434E-4
1.58E+1;4.602917E-4
1.57E+1;4.152417E-4
1.57E+1;3.643823E-4
1.57E+1;3.193225E-4
1.57E+1;2.799097E-4
1.56E+1;2.442432E-4
1.56E+1;2.032178E-4
1.56E+1;1.503662E-4
1.56E+1;9.380127E-5
1.55E+1;3.996582E-5
1.55E+1;-1.069702E-5
1.55E+1;-6.232544E-5
1.55E+1;-1.267615E-4
1.54E+1;-1.895874E-4
1.54E+1;-2.478638E-4
1.54E+1;-3.086621E-4
1.53E+1;-3.726953E-4
1.53E+1;-4.320715E-4
1.53E+1;-4.875806E-4
1.52E+1;-5.484424E-4
1.52E+1;-6.081152E-4
1.51E+1;-6.670520E-4
1.51E+1;-7.239856E-4
1.51E+1;-7.817981E-4
1.50E+1;-8.327759E-4
1.50E+1;-8.829211E-4
1.50E+1;-9.307776E-4
1.49E+1;-9.809021E-4
1.49E+1;-1.030166E-3
1.49E+1;-1.078159E-3
1.48E+1;-1.133484E-3
1.48E+1;-1.190991E-3
1.47E+1;-1.246017E-3
1.47E+1;-1.298314E-3
1.46E+1;-1.352313E-3
1.46E+1;-1.403531E-3
1.45E+1;-1.452461E-3
1.44E+1;-1.495637E-3
1.44E+1;-1.535750E-3
1.43E+1;-1.568030E-3
1.42E+1;-1.589915E-3
1.41E+1;-1.602064E-3
1.40E+1;-1.607618E-3
1.40E+1;-1.599487E-3
1.39E+1;-1.579330E-3
1.38E+1;-1.545614E-3
1.37E+1;-1.506687E-3
1.36E+1;-1.458300E-3
1.35E+1;-1.405615E-3
1.34E+1;-1.355195E-3
1.33E+1;-1.314525E-3
1.32E+1;-1.256685E-3
1.32E+1;-1.206675E-3
1.31E+1;-1.150123E-3
1.30E+1;-1.069116E-3
1.29E+1;-9.867639E-4
1.28E+1;-9.108704E-4
1.27E+1;-8.507654E-4
1.26E+1;-8.082239E-4
1.26E+1;-7.794116E-4
