"Angle (rad)";"Magnetic Field Strength (1X) (T)"
"a = 0.035";"R = 0.07"
"";"vindinger 330"
"std 2.79";"std 0.00161"
1.20E+1;1.367767E-3
1.19E+1;1.423574E-3
1.19E+1;1.467787E-3
1.19E+1;1.512048E-3
1.18E+1;1.559279E-3
1.18E+1;1.610706E-3
1.17E+1;1.662605E-3
1.17E+1;1.712219E-3
1.17E+1;1.765720E-3
1.16E+1;1.825510E-3
1.16E+1;1.897312E-3
1.15E+1;1.964178E-3
1.15E+1;2.031443E-3
1.14E+1;2.106353E-3
1.14E+1;2.180461E-3
1.13E+1;2.242633E-3
1.13E+1;2.307783E-3
1.13E+1;2.375438E-3
1.12E+1;2.443989E-3
1.12E+1;2.516521E-3
1.11E+1;2.591348E-3
1.11E+1;2.660090E-3
1.10E+1;2.730197E-3
1.10E+1;2.797635E-3
1.09E+1;2.864025E-3
1.09E+1;2.932338E-3
1.09E+1;3.004000E-3
1.08E+1;3.090551E-3
1.07E+1;3.169323E-3
1.07E+1;3.237329E-3
1.07E+1;3.290557E-3
1.06E+1;3.338729E-3
1.06E+1;3.403646E-3
1.05E+1;3.470485E-3
1.05E+1;3.531550E-3
1.05E+1;3.591276E-3
1.04E+1;3.645103E-3
1.04E+1;3.701581E-3
1.03E+1;3.765507E-3
1.03E+1;3.823779E-3
1.02E+1;3.886200E-3
1.02E+1;3.938168E-3
1.01E+1;3.979055E-3
1.01E+1;4.019017E-3
1.00E+1;4.059625E-3
1.00E+1;4.097792E-3
9.96E0;4.130468E-3
9.93E0;4.158381E-3
9.89E0;4.188398E-3
9.84E0;4.217817E-3
9.80E0;4.239287E-3
9.77E0;4.262444E-3
9.72E0;4.282893E-3
9.68E0;4.302974E-3
9.65E0;4.318109E-3
9.60E0;4.333037E-3
9.55E0;4.349088E-3
9.50E0;4.357451E-3
9.45E0;4.363195E-3
9.41E0;4.366420E-3
9.37E0;4.368009E-3
9.31E0;4.361765E-3
9.26E0;4.355439E-3
9.21E0;4.344955E-3
9.16E0;4.326733E-3
9.10E0;4.303116E-3
9.04E0;4.275658E-3
8.99E0;4.245210E-3
8.94E0;4.215070E-3
8.89E0;4.178558E-3
8.83E0;4.137545E-3
8.78E0;4.090045E-3
8.72E0;4.039603E-3
8.67E0;3.987487E-3
8.61E0;3.928170E-3
8.56E0;3.869633E-3
8.50E0;3.803325E-3
8.45E0;3.740187E-3
8.40E0;3.679125E-3
8.35E0;3.615225E-3
8.30E0;3.542140E-3
8.24E0;3.462155E-3
8.19E0;3.390886E-3
8.15E0;3.333165E-3
8.11E0;3.283317E-3
8.08E0;3.225886E-3
8.04E0;3.165352E-3
8.00E0;3.100060E-3
7.95E0;3.039147E-3
7.92E0;2.979442E-3
7.87E0;2.909092E-3
7.82E0;2.826956E-3
7.76E0;2.731486E-3
7.70E0;2.627805E-3
7.64E0;2.531183E-3
7.58E0;2.432377E-3
7.52E0;2.337983E-3
7.47E0;2.254652E-3
7.41E0;2.167346E-3
7.35E0;2.066499E-3
7.27E0;1.943767E-3
7.18E0;1.807797E-3
7.08E0;1.663390E-3
6.97E0;1.517128E-3
6.86E0;1.381444E-3
6.76E0;1.259896E-3
6.67E0;1.151952E-3
6.57E0;1.049257E-3
6.47E0;9.426831E-4
6.37E0;8.393884E-4
6.27E0;7.506421E-4
6.18E0;6.764282E-4
6.12E0;6.222705E-4
6.06E0;5.847461E-4
6.04E0;5.737952E-4
6.04E0;5.745129E-4
6.04E0;5.744897E-4
6.04E0;5.731531E-4
6.04E0;5.751978E-4
6.04E0;5.723438E-4
6.04E0;5.715552E-4
6.04E0;5.730811E-4
6.04E0;
