"Angle (rad)";"Magnetic Field Strength (1X) (T)"
"";"R = 0.07"
"";"vindinger 330"
8.925;0.2221;-8E-4
8.925;0.2221;-8E-4
8.925;0.2221;-8E-4
8.925;0.2221;-8E-4
8.927;0.2222;-8E-4
8.939;0.2225;-8E-4
8.946;0.2227;-8E-4
8.946;0.2227;-8E-4
8.946;0.2227;-8E-4
8.946;0.2227;-8E-4
8.946;0.2227;-8E-4
8.947;0.2227;-8E-4
8.946;0.2227;-8E-4
8.946;0.2227;-8E-4
8.946;0.2227;-8E-4
8.946;0.2227;-8E-4
8.946;0.2227;-8E-4
8.946;0.2227;-8E-4
8.946;0.2227;-8E-4
8.946;0.2227;-8E-4
8.946;0.2227;-8E-4
8.946;0.2227;-8E-4
8.943;0.2226;-8E-4
8.935;0.2224;-8E-4
8.933;0.2223;-8E-4
8.933;0.2223;-8E-4
8.933;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
8.932;0.2223;-8E-4
