"Angle (rad) Run #30";"Magnetic Field Strength (1X) (T)"
"0 = geografisk nordpol";""
"";""
"";""
3.63E0;1.612549E-6
3.65E0;-2.075195E-6
3.66E0;-2.137451E-6
3.66E0;1.080322E-6
3.67E0;-1.568604E-6
3.68E0;-2.915039E-6
3.69E0;-1.445312E-6
3.70E0;-1.146240E-6
3.70E0;-7.812500E-7
3.71E0;-8.886719E-7
3.72E0;-1.856689E-6
3.73E0;-5.118408E-6
3.74E0;-3.074951E-6
3.75E0;-2.906494E-6
3.76E0;-3.032227E-6
3.78E0;-4.140625E-6
3.79E0;-3.507080E-6
3.79E0;-5.463867E-6
3.79E0;-4.760742E-6
3.79E0;-2.385254E-6
3.79E0;-5.633545E-6
3.79E0;-4.410400E-6
3.79E0;-5.311279E-6
3.81E0;-6.097412E-6
3.85E0;-5.731201E-6
3.89E0;-4.987793E-6
3.92E0;-5.736084E-6
3.95E0;-7.437744E-6
3.97E0;-7.176514E-6
4.00E0;-7.894287E-6
4.03E0;-8.989258E-6
4.04E0;-1.000244E-5
4.06E0;-1.103027E-5
4.08E0;-1.078857E-5
4.12E0;-1.074707E-5
4.14E0;-1.271851E-5
4.16E0;-1.353638E-5
4.18E0;-1.557007E-5
4.19E0;-1.232300E-5
4.20E0;-1.295776E-5
4.22E0;-1.565063E-5
4.26E0;-1.421631E-5
4.30E0;-1.172974E-5
4.32E0;-1.387939E-5
4.35E0;-1.067505E-5
4.36E0;-1.301880E-5
4.37E0;-1.460693E-5
4.37E0;-1.517090E-5
4.39E0;-1.577271E-5
4.41E0;-1.544189E-5
4.42E0;-1.487183E-5
4.44E0;-1.261597E-5
4.47E0;-1.287964E-5
4.48E0;-1.484863E-5
4.49E0;-1.569824E-5
4.50E0;-1.590210E-5
4.52E0;-1.581055E-5
4.53E0;-1.433960E-5
4.55E0;-1.426270E-5
4.58E0;-1.499512E-5
4.59E0;-1.440308E-5
4.61E0;-1.345093E-5
4.64E0;-1.436523E-5
4.66E0;-1.316772E-5
4.67E0;-1.072266E-5
4.69E0;-1.354492E-5
4.71E0;-1.271240E-5
4.73E0;-1.431274E-5
4.75E0;-1.370239E-5
4.77E0;-1.191040E-5
4.80E0;-1.431396E-5
4.82E0;-1.420898E-5
4.83E0;-1.174927E-5
4.84E0;-1.149780E-5
4.85E0;-1.218994E-5
4.87E0;-1.110474E-5
4.89E0;-1.236206E-5
4.90E0;-1.202637E-5
4.91E0;-1.366699E-5
4.92E0;-1.273804E-5
4.93E0;-1.255981E-5
4.95E0;-1.430176E-5
4.97E0;-1.207886E-5
5.00E0;-1.320435E-5
5.02E0;-1.171997E-5
5.04E0;-1.001343E-5
5.05E0;-1.112671E-5
5.06E0;-8.420410E-6
5.08E0;-6.767578E-6
5.10E0;-9.710693E-6
5.11E0;-7.675781E-6
5.12E0;-7.355957E-6
5.14E0;-6.918945E-6
5.15E0;-7.750244E-6
5.17E0;-1.118896E-5
