"Angle (rad)";"Magnetic Field Strength (1X) (T)"
"a = 0.14";"R = 0.07"
"";"vindinger 330"
"std 3.38";"std 0.00017"
5.88E0;7.053223E-6
5.88E0;7.659912E-6
5.88E0;8.485107E-6
5.88E0;6.429443E-6
5.88E0;7.159424E-6
5.89E0;2.481689E-6
5.92E0;-1.893921E-5
5.97E0;-4.947266E-5
6.06E0;-9.466797E-5
6.15E0;-1.514404E-4
6.25E0;-2.041748E-4
6.33E0;-2.556372E-4
6.40E0;-2.983704E-4
6.46E0;-3.385583E-4
6.52E0;-3.811157E-4
6.58E0;-4.311365E-4
6.65E0;-4.791797E-4
6.72E0;-5.321484E-4
6.79E0;-5.843738E-4
6.86E0;-6.433081E-4
6.94E0;-7.065088E-4
7.02E0;-7.798340E-4
7.11E0;-8.569653E-4
7.19E0;-9.284753E-4
7.27E0;-9.973376E-4
7.34E0;-1.065193E-3
7.41E0;-1.128738E-3
7.48E0;-1.189177E-3
7.54E0;-1.244553E-3
7.60E0;-1.293379E-3
7.65E0;-1.336007E-3
7.69E0;-1.372749E-3
7.75E0;-1.425665E-3
7.82E0;-1.481444E-3
7.89E0;-1.533651E-3
7.95E0;-1.572876E-3
7.99E0;-1.604324E-3
8.04E0;-1.638180E-3
8.10E0;-1.671206E-3
8.15E0;-1.704136E-3
8.21E0;-1.733542E-3
8.26E0;-1.760563E-3
8.31E0;-1.784041E-3
8.38E0;-1.801302E-3
8.44E0;-1.819178E-3
8.51E0;-1.832914E-3
8.57E0;-1.840604E-3
8.64E0;-1.837108E-3
8.71E0;-1.831627E-3
8.78E0;-1.817024E-3
8.85E0;-1.796927E-3
8.92E0;-1.772267E-3
8.98E0;-1.738695E-3
9.05E0;-1.703749E-3
9.12E0;-1.657649E-3
9.19E0;-1.610571E-3
9.25E0;-1.563143E-3
9.31E0;-1.511705E-3
9.37E0;-1.449423E-3
9.44E0;-1.381078E-3
9.51E0;-1.312804E-3
9.57E0;-1.246885E-3
9.63E0;-1.179167E-3
9.70E0;-1.100745E-3
9.77E0;-1.017029E-3
9.84E0;-9.268604E-4
9.92E0;-8.417786E-4
9.98E0;-7.609619E-4
1.01E+1;-6.670276E-4
1.01E+1;-5.661816E-4
1.02E+1;-4.605566E-4
1.03E+1;-3.552002E-4
1.04E+1;-2.667542E-4
1.04E+1;-1.839441E-4
1.05E+1;-1.078857E-4
1.06E+1;-4.045166E-5
1.06E+1;2.718506E-5
1.07E+1;9.003662E-5
1.07E+1;1.500854E-4
1.08E+1;2.201135E-4
1.08E+1;2.843652E-4
1.09E+1;3.520142E-4
1.10E+1;4.152271E-4
1.10E+1;4.856396E-4
1.11E+1;5.595801E-4
1.11E+1;6.385352E-4
1.12E+1;7.243396E-4
1.13E+1;8.129980E-4
1.14E+1;9.079321E-4
1.15E+1;1.007096E-3
1.15E+1;1.103517E-3
1.16E+1;1.198430E-3
1.17E+1;1.289189E-3
1.18E+1;1.376659E-3
1.19E+1;1.463275E-3
1.19E+1;1.541456E-3
1.20E+1;1.611384E-3
1.20E+1;1.672372E-3
1.21E+1;1.733026E-3
1.21E+1;1.800581E-3
1.22E+1;1.880988E-3
1.23E+1;1.969438E-3
1.24E+1;2.064493E-3
1.24E+1;2.161091E-3
1.25E+1;2.261621E-3
1.26E+1;2.363071E-3
1.27E+1;2.467678E-3
1.28E+1;2.576918E-3
1.29E+1;2.695074E-3
1.30E+1;2.804657E-3
1.31E+1;2.892931E-3
1.31E+1;2.963357E-3
1.32E+1;3.038854E-3
1.33E+1;3.116364E-3
1.34E+1;3.188204E-3
1.35E+1;3.253008E-3
1.35E+1;3.305964E-3
1.36E+1;3.347915E-3
1.37E+1;3.381254E-3
1.37E+1;3.406444E-3
1.38E+1;3.424584E-3
1.38E+1;3.438414E-3
1.38E+1;3.449542E-3
1.39E+1;3.459109E-3
1.39E+1;3.468369E-3
1.40E+1;3.473889E-3
1.40E+1;3.472227E-3
