"Angle (rad)";"Magnetic Field Strength (1X) (T)"
"a = 0.07";"R = 0.07"
"";"vindinger 330"
"std 3.16";"std 0.0013"
0.008;1.249878E-5
0.016;1.382690E-5
0.037;1.367432E-5
0.092;1.546143E-5
0.188;1.884644E-5
0.306;3.170166E-5
0.406;4.765503E-5
0.474;6.308716E-5
0.521;8.517212E-5
0.542;1.071460E-4
0.552;1.307458E-4
0.573;1.541602E-4
0.620;1.805322E-4
0.689;2.143164E-4
0.744;2.505859E-4
0.785;2.907739E-4
0.801;3.344446E-4
0.780;3.801477E-4
0.741;4.238428E-4
0.720;4.692297E-4
0.741;5.156042E-4
0.767;5.688159E-4
0.764;6.257471E-4
0.744;6.795886E-4
0.733;7.373315E-4
0.738;7.973816E-4
0.741;8.601770E-4
0.728;9.241150E-4
0.696;9.882458E-4
0.657;1.050787E-3
0.628;1.111888E-3
0.607;1.169712E-3
0.597;1.230758E-3
0.610;1.289766E-3
0.649;1.361035E-3
0.691;1.437413E-3
0.720;1.518948E-3
0.754;1.601965E-3
0.812;1.692434E-3
0.859;1.798259E-3
0.859;1.909512E-3
0.809;2.007911E-3
0.746;2.099384E-3
0.704;2.186105E-3
0.673;2.267220E-3
0.652;2.345446E-3
0.641;2.423109E-3
0.644;2.500206E-3
0.644;2.574574E-3
0.618;2.645353E-3
0.568;2.710220E-3
0.521;2.766234E-3
0.500;2.815895E-3
0.508;2.864202E-3
0.524;2.912756E-3
0.537;2.959470E-3
0.558;3.005737E-3
0.592;3.053550E-3
0.639;3.099624E-3
0.683;3.147045E-3
0.709;3.191759E-3
0.694;3.230796E-3
0.620;3.264110E-3
0.516;3.290592E-3
0.429;3.303737E-3
0.401;3.316915E-3
0.411;3.330199E-3
0.437;3.342910E-3
0.463;3.353440E-3
0.479;3.365453E-3
0.490;3.371998E-3
0.492;3.379696E-3
0.484;3.387395E-3
0.456;3.390106E-3
0.416;3.395154E-3
0.395;3.399194E-3
0.393;3.400325E-3
0.401;3.401448E-3
0.414;3.402332E-3
0.437;3.401010E-3
0.476;3.401285E-3
0.531;3.401698E-3
0.594;3.399084E-3
0.639;3.399904E-3
0.644;3.400161E-3
0.605;3.400679E-3
0.565;3.401434E-3
0.560;3.399214E-3
0.584;3.398910E-3
0.605;3.400692E-3
0.607;3.402700E-3
0.607;3.401799E-3
0.602;3.400127E-3
0.584;3.401992E-3
0.550;3.402620E-3
0.521;3.402104E-3
0.511;3.402399E-3
0.516;3.401324E-3
0.529;3.401178E-3
0.542;3.394138E-3
0.552;3.389618E-3
0.537;3.382662E-3
0.500;3.376954E-3
0.474;3.366403E-3
0.479;3.358164E-3
0.503;3.345402E-3
0.513;3.331414E-3
0.511;3.312682E-3
0.503;3.292424E-3
0.490;3.269789E-3
0.487;3.247080E-3
0.508;3.223296E-3
0.545;3.192306E-3
0.581;3.157880E-3
0.618;3.119071E-3
0.670;3.070585E-3
0.723;3.014832E-3
0.730;2.948147E-3
0.678;2.877522E-3
0.589;2.816870E-3
0.497;2.765082E-3
0.437;2.720420E-3
0.416;2.677267E-3
0.429;2.629188E-3
0.466;2.580825E-3
0.503;2.524303E-3
0.537;2.459147E-3
0.560;2.390939E-3
0.579;2.325232E-3
0.600;2.252257E-3
0.615;2.173270E-3
0.623;2.097153E-3
0.626;2.017377E-3
0.631;1.942349E-3
0.639;1.863024E-3
0.670;1.784933E-3
0.736;1.702737E-3
0.809;1.609652E-3
0.843;1.508878E-3
0.830;1.417999E-3
0.817;1.330476E-3
0.809;1.243110E-3
0.764;1.156815E-3
0.670;1.087527E-3
0.579;1.033751E-3
0.542;9.863220E-4
0.539;9.353845E-4
0.529;8.889709E-4
0.503;8.440747E-4
0.482;8.032324E-4
0.463;7.656384E-4
0.450;7.299597E-4
0.450;6.935083E-4
0.463;6.587805E-4
0.479;6.239063E-4
0.492;5.909985E-4
0.521;5.569153E-4
0.565;5.184375E-4
0.597;4.781226E-4
0.592;4.392273E-4
0.555;4.027625E-4
0.511;3.736743E-4
0.487;3.455408E-4
0.484;3.214844E-4
0.497;2.934656E-4
0.518;2.643408E-4
0.542;2.383411E-4
0.560;2.114929E-4
0.573;1.844604E-4
0.584;1.593164E-4
0.594;1.340552E-4
0.592;1.071143E-4
0.563;8.377075E-5
0.518;6.218018E-5
0.471;4.512695E-5
0.432;2.871216E-5
0.406;1.168091E-5
0.401;-2.446289E-6
0.424;-1.541138E-5
0.461;-3.009888E-5
0.445;-4.634888E-5
0.330;-6.017700E-5
0.165;-6.404907E-5
0.042;-6.520752E-5
0.000;-6.640869E-5
-0.003;-6.721436E-5
-0.005;-6.684082E-5
-0.005;-6.691528E-5
-0.003;-6.789673E-5
-0.003;-6.835693E-5
-0.008;-6.638794E-5
-0.013;-6.568726E-5
-0.050;-6.635376E-5
-0.181;-6.446533E-5
-0.435;-5.445557E-5
-0.730;-3.031128E-5
-0.932;3.955078E-7
-0.984;3.912109E-5
-0.937;7.424194E-5
-0.853;1.105286E-4
-0.749;1.442334E-4
-0.636;1.757361E-4
-0.547;2.010071E-4
-0.518;2.247363E-4
-0.545;2.515356E-4
-0.584;2.806360E-4
-0.602;3.124280E-4
-0.586;3.476001E-4
-0.565;3.825781E-4
-0.563;4.108459E-4
-0.586;4.484900E-4
-0.639;4.877148E-4
-0.717;5.324670E-4
-0.809;5.878455E-4
-0.890;6.544739E-4
-0.945;7.249976E-4
-0.984;8.045508E-4
-1.008;8.901282E-4
-0.995;9.839417E-4
-0.953;1.076049E-3
-0.914;1.163364E-3
-0.895;1.255677E-3
-0.877;1.348800E-3
-0.867;1.441349E-3
-0.906;1.533721E-3
-0.995;1.645673E-3
-1.073;1.779279E-3
-1.105;1.914700E-3
-1.118;2.042412E-3
-1.141;2.184421E-3
-1.160;2.326235E-3
-1.144;2.464163E-3
-1.097;2.593804E-3
-1.042;2.712665E-3
-0.995;2.816693E-3
-0.950;2.910396E-3
-0.890;2.989401E-3
-0.804;3.057048E-3
-0.709;3.107111E-3
-0.639;3.151570E-3
-0.602;3.187661E-3
-0.594;3.220811E-3
-0.605;3.251246E-3
-0.626;3.278994E-3
-0.649;3.305363E-3
-0.641;3.325281E-3
-0.586;3.344332E-3
-0.524;3.355903E-3
-0.513;3.364742E-3
-0.571;3.373610E-3
-0.647;3.381135E-3
-0.709;3.384858E-3
-0.762;3.393241E-3
-0.806;3.394606E-3
-0.843;3.394940E-3
-0.864;3.396418E-3
-0.851;3.393988E-3
-0.785;3.393977E-3
-0.691;3.392123E-3
-0.607;3.394167E-3
-0.542;3.390817E-3
-0.487;3.391156E-3
-0.463;3.391268E-3
-0.476;3.392053E-3
-0.497;3.392012E-3
-0.508;3.391759E-3
-0.534;3.396754E-3
-0.597;3.393376E-3
-0.668;3.393137E-3
-0.715;3.393281E-3
-0.733;3.393473E-3
-0.730;3.387437E-3
-0.694;3.383623E-3
-0.623;3.376182E-3
-0.550;3.366045E-3
-0.513;3.359481E-3
-0.518;3.347256E-3
-0.537;3.334071E-3
-0.547;3.321200E-3
-0.542;3.303632E-3
-0.518;3.281471E-3
-0.513;3.259224E-3
-0.534;3.235287E-3
-0.565;3.207919E-3
-0.584;3.173380E-3
-0.600;3.135562E-3
-0.657;3.094287E-3
-0.728;3.040336E-3
-0.759;2.973207E-3
-0.725;2.905096E-3
-0.665;2.843801E-3
-0.626;2.780538E-3
-0.597;2.713926E-3
-0.565;2.649110E-3
-0.542;2.592767E-3
-0.555;2.530515E-3
-0.589;2.459827E-3
-0.623;2.377869E-3
-0.673;2.299304E-3
-0.723;2.213011E-3
-0.741;2.112042E-3
