"Angle (rad)";"Magnetic Field Strength (1X) (T)"
"a = 0.035";"R = 0.07"
"";"vindinger 330"
"std 2.78";"std 0.0008164"
5.60E0;8.106689E-6
5.60E0;9.978027E-6
5.60E0;9.302979E-6
5.60E0;9.711914E-6
5.60E0;9.534912E-6
5.60E0;1.014771E-5
5.60E0;9.736328E-6
5.60E0;9.556885E-6
5.60E0;9.077148E-6
5.60E0;6.938477E-6
5.60E0;6.019287E-6
5.62E0;2.161865E-6
5.66E0;-9.326172E-6
5.69E0;-1.771606E-5
5.73E0;-2.873535E-5
5.77E0;-4.202393E-5
5.81E0;-5.136841E-5
5.86E0;-6.827881E-5
5.92E0;-8.601807E-5
5.97E0;-1.017261E-4
6.03E0;-1.230688E-4
6.11E0;-1.537561E-4
6.20E0;-1.773035E-4
6.27E0;-2.074329E-4
6.35E0;-2.398840E-4
6.43E0;-2.725830E-4
6.51E0;-3.044666E-4
6.58E0;-3.325720E-4
6.64E0;-3.607849E-4
6.70E0;-3.869592E-4
6.76E0;-4.140564E-4
6.81E0;-4.350024E-4
6.85E0;-4.497717E-4
6.88E0;-4.676501E-4
6.92E0;-4.897107E-4
6.96E0;-5.061243E-4
7.00E0;-5.223425E-4
7.04E0;-5.415649E-4
7.07E0;-5.588281E-4
7.12E0;-5.771912E-4
7.15E0;-5.954529E-4
7.19E0;-6.145337E-4
7.23E0;-6.330957E-4
7.27E0;-6.490662E-4
7.32E0;-6.708826E-4
7.36E0;-6.886169E-4
7.40E0;-7.078223E-4
7.45E0;-7.239001E-4
7.49E0;-7.393835E-4
7.54E0;-7.563879E-4
7.58E0;-7.707397E-4
7.62E0;-7.850940E-4
7.67E0;-7.992273E-4
7.71E0;-8.118738E-4
7.76E0;-8.217444E-4
7.81E0;-8.292163E-4
7.86E0;-8.385193E-4
7.91E0;-8.435107E-4
7.95E0;-8.462183E-4
8.00E0;-8.481836E-4
8.05E0;-8.475891E-4
8.10E0;-8.402478E-4
8.16E0;-8.337842E-4
8.20E0;-8.221509E-4
8.25E0;-8.070081E-4
8.30E0;-7.899573E-4
8.34E0;-7.721436E-4
8.39E0;-7.472498E-4
8.45E0;-7.158081E-4
8.50E0;-6.803882E-4
8.56E0;-6.400757E-4
8.61E0;-5.909302E-4
8.68E0;-5.349341E-4
8.73E0;-4.810681E-4
8.79E0;-4.158997E-4
8.85E0;-3.551355E-4
8.89E0;-3.022144E-4
8.93E0;-2.525281E-4
8.97E0;-2.042334E-4
9.01E0;-1.457556E-4
9.06E0;-7.981323E-5
9.11E0;-6.000977E-6
9.16E0;6.889404E-5
9.21E0;1.459753E-4
9.27E0;2.258484E-4
9.32E0;3.143567E-4
9.38E0;3.962378E-4
9.43E0;4.733130E-4
9.48E0;5.452661E-4
9.52E0;6.177771E-4
9.57E0;6.843579E-4
9.60E0;7.375830E-4
9.64E0;7.959363E-4
9.68E0;8.581140E-4
9.73E0;9.251477E-4
9.78E0;9.916553E-4
9.82E0;1.045096E-3
9.86E0;1.093674E-3
9.89E0;1.139070E-3
9.93E0;1.181748E-3
9.96E0;1.221415E-3
1.00E+1;1.261888E-3
1.00E+1;1.305178E-3
1.01E+1;1.351847E-3
1.01E+1;1.392006E-3
1.02E+1;1.426565E-3
1.02E+1;1.459860E-3
1.03E+1;1.490703E-3
1.03E+1;1.529089E-3
1.04E+1;1.562532E-3
1.04E+1;1.587972E-3
1.05E+1;1.606426E-3
1.05E+1;1.618701E-3
1.06E+1;1.633560E-3
1.06E+1;1.641655E-3
1.06E+1;1.650577E-3
1.07E+1;1.655631E-3
1.07E+1;1.656741E-3
1.08E+1;1.659348E-3
1.08E+1;1.659598E-3
1.09E+1;1.656084E-3
1.09E+1;1.653739E-3
1.09E+1;1.645338E-3
1.10E+1;1.639063E-3
1.10E+1;1.630969E-3
1.11E+1;1.618541E-3
1.11E+1;1.607200E-3
1.11E+1;1.598771E-3
1.12E+1;1.587206E-3
1.12E+1;1.575107E-3
1.13E+1;1.564783E-3
1.13E+1;1.551227E-3
1.13E+1;1.534922E-3
1.14E+1;1.514124E-3
1.14E+1;1.490908E-3
1.15E+1;1.464694E-3
1.15E+1;1.437751E-3
1.16E+1;1.411787E-3
1.17E+1;1.380558E-3
1.17E+1;1.352411E-3
1.18E+1;1.326459E-3
1.18E+1;1.301774E-3
1.19E+1;1.281731E-3
1.19E+1;1.262971E-3
1.20E+1;1.242831E-3
1.20E+1;1.220647E-3
1.21E+1;1.198801E-3
1.21E+1;1.173390E-3
1.22E+1;1.142025E-3
1.23E+1;1.111626E-3
1.23E+1;1.082010E-3
1.24E+1;1.051915E-3
1.25E+1;1.021752E-3
1.26E+1;9.975574E-4
1.26E+1;9.801001E-4
1.27E+1;9.611707E-4
1.27E+1;9.426660E-4
1.28E+1;9.222339E-4
1.28E+1;9.047632E-4
1.29E+1;8.855090E-4
1.30E+1;8.632947E-4
1.31E+1;8.433374E-4
1.31E+1;8.263599E-4
1.32E+1;8.091858E-4
1.32E+1;7.968311E-4
1.33E+1;7.797986E-4
1.34E+1;7.615491E-4
1.34E+1;7.485815E-4
1.35E+1;7.355615E-4
1.36E+1;7.226489E-4
1.36E+1;7.110217E-4
1.37E+1;6.991479E-4
1.38E+1;6.892761E-4
1.38E+1;6.756726E-4
1.39E+1;6.687988E-4
1.39E+1;6.599548E-4
1.40E+1;6.527502E-4
1.40E+1;6.472009E-4
1.41E+1;6.391211E-4
1.41E+1;6.338159E-4
1.42E+1;6.274622E-4
1.42E+1;6.246765E-4
1.42E+1;6.161621E-4
1.43E+1;6.136279E-4
1.43E+1;6.105969E-4
1.44E+1;6.032556E-4
1.44E+1;5.988477E-4
1.45E+1;5.930127E-4
1.45E+1;5.893872E-4
1.45E+1;5.870654E-4
1.45E+1;5.857227E-4
1.45E+1;5.859412E-4
1.45E+1;5.852844E-4
1.45E+1;5.850305E-4
1.45E+1;5.872620E-4
1.45E+1;5.858484E-4
1.45E+1;5.842151E-4
1.45E+1;5.838623E-4
1.45E+1;5.848230E-4
1.45E+1;5.863416E-4
1.45E+1;5.869702E-4
1.45E+1;5.886340E-4
1.45E+1;5.951819E-4
1.44E+1;6.002661E-4
1.44E+1;6.061182E-4
1.43E+1;6.099976E-4
1.43E+1;6.148022E-4
1.42E+1;6.205908E-4
1.42E+1;6.261597E-4
1.42E+1;6.320972E-4
1.41E+1;6.367578E-4
1.41E+1;6.459595E-4
1.40E+1;6.517688E-4
1.40E+1;6.595349E-4
1.39E+1;6.659631E-4
1.39E+1;6.740564E-4
1.38E+1;6.823730E-4
1.38E+1;6.957031E-4
1.37E+1;7.056763E-4
1.36E+1;7.207214E-4
1.35E+1;7.353113E-4
1.35E+1;7.491003E-4
1.34E+1;7.625256E-4
1.33E+1;7.734802E-4
1.33E+1;7.840210E-4
1.33E+1;7.924316E-4
1.32E+1;8.031531E-4
1.32E+1;8.151135E-4
1.31E+1;8.274817E-4
1.31E+1;8.398401E-4
1.30E+1;8.565869E-4
1.30E+1;8.730029E-4
1.29E+1;8.936389E-4
1.28E+1;9.151233E-4
1.27E+1;9.408801E-4
1.27E+1;9.683508E-4
1.26E+1;9.953101E-4
1.25E+1;1.023336E-3
1.24E+1;1.048344E-3
1.24E+1;1.075110E-3
